FRAME;X;Y;Z;
1;0.209885;-0.101340;0.972460;
2;0.208727;-0.100749;0.972771;
3;0.207237;-0.099229;0.973245;
4;0.204360;-0.095631;0.974213;
5;-1;-1;-1;
6;-1;-1;-1;
7;0.067313;-0.081243;0.994419;
8;0.069030;-0.081127;0.994310;
9;0.067097;-0.077704;0.994716;
10;0.068023;-0.075498;0.994823;
11;0.070153;-0.070569;0.995037;
12;0.069809;-0.066568;0.995337;
13;0.069005;-0.065837;0.995441;
14;0.068021;-0.064687;0.995585;
15;0.070199;-0.062430;0.995577;
16;0.071694;-0.061524;0.995527;
17;0.070695;-0.060971;0.995633;
18;0.068310;-0.056161;0.996082;
19;0.065677;-0.051570;0.996507;
20;0.063144;-0.047334;0.996881;
21;0.112548;-0.048798;0.992447;
22;0.170566;-0.046222;0.984262;
23;0.170331;-0.039978;0.984576;
24;0.169603;-0.039519;0.984720;
25;0.168447;-0.043105;0.984768;
26;0.167606;-0.050388;0.984566;
27;-1;-1;-1;
28;-1;-1;-1;
29;0.151856;-0.127739;0.980113;
30;0.152881;-0.119647;0.980975;
31;0.153015;-0.121710;0.980700;
32;0.152317;-0.124938;0.980403;
33;0.149379;-0.128766;0.980360;
34;0.145958;-0.128237;0.980944;
35;0.146719;-0.127254;0.980959;
36;0.080260;-0.125083;0.988895;
37;0.080575;-0.125884;0.988767;
38;0.080779;-0.122256;0.989206;
39;0.081052;-0.118853;0.989598;
40;0.081039;-0.117822;0.989723;
41;0.080383;-0.115129;0.990093;
42;0.092884;-0.117543;0.988714;
43;0.172807;-0.125654;0.976908;
44;0.173249;-0.121911;0.977304;
45;0.171552;-0.117993;0.978084;
46;0.169730;-0.111999;0.979106;
47;0.169197;-0.106174;0.979847;
48;0.186016;-0.121017;0.975066;
49;0.182427;-0.119204;0.975967;
50;0.181117;-0.113797;0.976856;
51;0.180619;-0.107234;0.977690;
52;0.176497;-0.102985;0.978899;
53;0.171853;-0.100718;0.979960;
54;0.169395;-0.101993;0.980257;
55;0.174671;-0.097999;0.979738;
56;0.215065;-0.070345;0.974063;
57;0.216325;-0.070015;0.973808;
58;0.213822;-0.073246;0.974123;
59;0.212319;-0.074489;0.974357;
60;0.208944;-0.076201;0.974954;
61;0.206062;-0.077847;0.975437;
62;0.201723;-0.078631;0.976281;
63;-1;-1;-1;
64;-1;-1;-1;
65;0.082286;-0.096248;0.991950;
66;0.084783;-0.082384;0.992988;
67;0.086296;-0.069130;0.993868;
68;0.084656;-0.064867;0.994297;
69;0.082401;-0.062599;0.994631;
70;0.082321;-0.059084;0.994853;
71;0.084302;-0.053956;0.994978;
72;0.082114;-0.051639;0.995284;
73;0.081921;-0.054204;0.995164;
74;0.080180;-0.054639;0.995282;
75;0.079928;-0.054864;0.995290;
76;0.070400;-0.060767;0.995666;
77;0.072817;-0.057141;0.995707;
78;0.072521;-0.055447;0.995824;
79;0.071882;-0.057097;0.995778;
80;0.086708;-0.053311;0.994806;
81;0.138277;-0.056284;0.988793;
82;0.138928;-0.053312;0.988866;
83;0.138087;-0.053072;0.988997;
84;0.136404;-0.055953;0.989072;
85;0.131386;-0.062122;0.989383;
86;0.119072;-0.079639;0.989687;
87;0.114922;-0.086305;0.989618;
88;0.110523;-0.091882;0.989617;
89;0.108596;-0.095035;0.989533;
90;0.105464;-0.100387;0.989343;
91;0.101196;-0.106206;0.989181;
92;0.097577;-0.111210;0.988995;
93;0.094946;-0.114898;0.988829;
94;0.153686;-0.123680;0.980349;
95;0.167567;-0.122488;0.978222;
96;0.165034;-0.121898;0.978726;
97;0.164015;-0.123146;0.978741;
98;0.159773;-0.122609;0.979510;
99;0.154808;-0.122301;0.980345;
100;0.163845;-0.119364;0.979238;
101;0.161829;-0.117991;0.979740;
102;0.159473;-0.116820;0.980266;
103;0.158842;-0.117477;0.980290;
104;0.156041;-0.116837;0.980816;
105;0.152980;-0.114008;0.981631;
106;0.150284;-0.113595;0.982095;
107;0.146995;-0.115743;0.982342;
108;0.140888;-0.115822;0.983227;
109;0.138919;-0.115962;0.983491;
110;0.137920;-0.114686;0.983781;
111;0.136505;-0.115880;0.983839;
112;0.134474;-0.118461;0.983811;
113;0.133193;-0.119402;0.983871;
114;-1;-1;-1;
115;0.082100;-0.133378;0.987659;
116;0.089351;-0.128453;0.987682;
117;0.088450;-0.124638;0.988252;
118;0.088347;-0.117096;0.989183;
119;0.087606;-0.112424;0.989791;
120;0.088546;-0.110105;0.989968;
121;0.090243;-0.108567;0.989985;
122;0.089129;-0.110261;0.989898;
123;0.086760;-0.110797;0.990049;
124;0.083350;-0.107465;0.990709;
125;0.083047;-0.104339;0.991068;
126;0.084348;-0.101674;0.991236;
127;0.083111;-0.097328;0.991776;
128;0.081274;-0.093116;0.992333;
129;0.081083;-0.091276;0.992519;
130;0.078470;-0.092884;0.992580;
131;0.079682;-0.093705;0.992406;
132;0.101275;-0.091414;0.990650;
133;0.102833;-0.090937;0.990533;
134;0.103195;-0.089543;0.990622;
135;0.101261;-0.089282;0.990846;
136;0.100616;-0.091019;0.990753;
137;0.099311;-0.088946;0.991073;
138;0.105506;-0.089762;0.990359;
139;-1;-1;-1;
140;-1;-1;-1;
141;0.096476;-0.106966;0.989571;
142;0.105298;-0.092000;0.990176;
143;0.106070;-0.082532;0.990928;
144;0.106507;-0.078570;0.991203;
145;0.108511;-0.076243;0.991167;
146;0.108988;-0.075303;0.991187;
147;0.112261;-0.073053;0.990990;
148;0.113008;-0.072830;0.990921;
149;0.113538;-0.071535;0.990955;
150;0.114837;-0.070413;0.990886;
151;0.116347;-0.071945;0.990599;
152;0.118827;-0.070273;0.990425;
153;0.120825;-0.069610;0.990230;
154;0.121383;-0.065532;0.990440;
155;0.120821;-0.069750;0.990221;
156;0.102414;-0.010395;0.994688;
157;0.075992;0.117616;0.990147;
158;0.073688;0.124262;0.989510;
159;0.073346;0.123666;0.989610;
160;0.076608;0.126551;0.988997;
161;0.075876;0.130427;0.988550;
162;0.074647;0.137736;0.987652;
163;0.066544;0.128588;0.989463;
164;0.100731;-0.055340;0.993373;
165;0.102284;-0.062080;0.992816;
166;0.099804;-0.059697;0.993215;
167;0.098219;-0.057508;0.993502;
168;0.093832;-0.056772;0.993968;
169;0.090958;-0.055316;0.994317;
170;0.088770;-0.058723;0.994320;
171;0.085914;-0.065121;0.994172;
172;0.082948;-0.071989;0.993950;
173;0.056035;-0.076149;0.995521;
174;0.054117;-0.074671;0.995739;
175;0.050714;-0.079270;0.995562;
176;0.048269;-0.083321;0.995353;
177;0.049049;-0.084065;0.995252;
178;0.049227;-0.085091;0.995156;
179;0.051458;-0.086920;0.994885;
180;0.051081;-0.093324;0.994325;
181;0.048992;-0.092045;0.994549;
182;0.049420;-0.093309;0.994410;
183;0.051954;-0.092118;0.994392;
184;0.053729;-0.091771;0.994330;
185;0.054368;-0.089885;0.994467;
186;0.053764;-0.093930;0.994126;
187;0.050630;-0.095195;0.994170;
188;0.045517;-0.095167;0.994420;
189;0.045000;-0.091360;0.994801;
190;0.045368;-0.093723;0.994564;
191;0.043767;-0.095161;0.994499;
192;0.041342;-0.094188;0.994696;
193;0.038003;-0.094670;0.994783;
194;0.036199;-0.096640;0.994661;
195;-1;-1;-1;
196;-1;-1;-1;
197;0.050617;-0.123185;0.991092;
198;0.051006;-0.114107;0.992158;
199;0.052913;-0.106367;0.992918;
200;0.053387;-0.101918;0.993359;
201;0.053776;-0.100907;0.993441;
202;0.052131;-0.098463;0.993774;
203;0.075120;-0.087997;0.993284;
204;0.074026;-0.087371;0.993422;
205;0.074278;-0.087489;0.993392;
206;0.075451;-0.084273;0.993582;
207;0.074910;-0.082758;0.993750;
208;0.073132;-0.079775;0.994127;
209;0.070294;-0.081266;0.994211;
210;0.068123;-0.078874;0.994554;
211;0.069127;-0.076659;0.994658;
212;0.070328;-0.076285;0.994603;
213;0.070516;-0.073087;0.994830;
214;0.067995;-0.072183;0.995071;
215;0.066181;-0.071631;0.995233;
216;0.068069;-0.071262;0.995132;
217;0.070416;-0.071069;0.994983;
218;0.036224;-0.074780;0.996542;
219;0.038612;-0.073281;0.996564;
220;0.038683;-0.073611;0.996536;
221;0.038219;-0.072696;0.996622;
222;0.037599;-0.075027;0.996472;
223;0.035147;-0.076312;0.996464;
224;0.035477;-0.077876;0.996332;
225;0.036800;-0.078960;0.996198;
226;0.037159;-0.080992;0.996022;
227;0.033855;-0.078917;0.996306;
228;0.031303;-0.077692;0.996486;
229;-1;-1;-1;
230;-1;-1;-1;
231;0.071216;-0.060180;0.995644;
232;0.067507;-0.087847;0.993844;
233;0.064673;-0.088784;0.993949;
234;0.064372;-0.085170;0.994285;
235;0.065327;-0.084316;0.994295;
236;0.067172;-0.080290;0.994506;
237;0.066930;-0.076835;0.994795;
238;0.067719;-0.077022;0.994727;
239;0.065571;-0.075855;0.994961;
240;0.065846;-0.074985;0.995008;
241;0.065380;-0.077596;0.994839;
242;0.065331;-0.077097;0.994881;
243;0.017541;-0.080888;0.996569;
244;0.020159;-0.085527;0.996132;
245;0.022070;-0.089459;0.995746;
246;0.025675;-0.097742;0.994881;
247;0.030553;-0.106748;0.993817;
248;0.035358;-0.113866;0.992867;
249;0.038943;-0.118200;0.992226;
250;0.041208;-0.125799;0.991200;
251;0.044943;-0.134255;0.989927;
252;0.048957;-0.144975;0.988223;
253;0.051865;-0.147144;0.987754;
254;0.054562;-0.147703;0.987526;
255;0.070046;-0.147910;0.986517;
256;0.069366;-0.150818;0.986125;
257;0.068888;-0.150565;0.986197;
258;0.069296;-0.149123;0.986387;
259;0.068204;-0.152834;0.985896;
260;0.074338;-0.154411;0.985206;
261;0.073734;-0.152610;0.985532;
262;0.073223;-0.152081;0.985652;
263;0.073337;-0.151870;0.985676;
264;0.075729;-0.155321;0.984957;
265;0.116035;-0.157138;0.980736;
266;0.116311;-0.155524;0.980961;
267;0.117386;-0.154851;0.980939;
268;0.118955;-0.154480;0.980809;
269;0.120093;-0.154954;0.980595;
270;0.121374;-0.154520;0.980506;
271;0.122762;-0.154543;0.980330;
272;0.122755;-0.154505;0.980336;
273;0.123870;-0.153588;0.980340;
274;0.125679;-0.151905;0.980372;
275;0.125507;-0.151251;0.980495;
276;0.124815;-0.151363;0.980566;
277;0.119962;-0.151763;0.981110;
278;0.121921;-0.151667;0.980883;
279;0.125071;-0.150882;0.980608;
280;0.124633;-0.147812;0.981131;
281;0.112963;-0.150974;0.982062;
282;-1;-1;-1;
